city,country,date,lat,lng,temp,max temp,humidity,cloudiness,wind_speed_mph
voh,NC,1620175357,-20.9667,164.7,82.74,82.74,60,3,3.18
carutapera,BR,1620175358,-1.195,-46.02,74.86,74.86,93,100,6.17
bonito,BR,1620175358,-21.1211,-56.4819,77.94,77.94,43,76,2.1
torrijos,ES,1620175359,39.9819,-4.2835,56.46,61.0,62,0,5.75
kurchum,KZ,1620175360,48.5722,83.6542,55.51,55.51,42,0,5.53
patu,BR,1620175361,-6.11,-37.6367,73.49,73.49,89,87,1.07
forestville,US,1620175361,38.8451,-76.875,65.98,68.0,94,1,4.61
saldanha,ZA,1620175362,-33.0117,17.9442,57.2,57.2,88,100,9.22
bismarck,US,1620175324,46.8083,-100.7837,58.86,60.8,25,1,8.05
mwinilunga,ZM,1620175363,-11.7358,24.4293,63.54,63.54,79,100,3.51
hay river,CA,1620175364,60.8156,-115.7999,44.6,44.6,45,34,6.91
kamien pomorski,PL,1620175365,53.9685,14.7726,45.23,46.99,81,20,8.05
silver city,US,1620175136,32.7701,-108.2803,70.56,73.4,16,1,11.5
makinsk,KZ,1620175366,52.6292,70.4169,51.3,51.3,58,100,6.49
shahrud,IR,1620175367,36.4182,54.9763,54.16,54.16,85,83,0.54
helena,US,1620175170,46.5927,-112.0361,60.15,61.0,29,90,16.11
winnipeg,CA,1620175242,49.8844,-97.147,48.09,48.2,25,4,5.75
grand gaube,MU,1620175369,-20.0064,57.6608,75.99,75.99,88,18,1.99
deer lake,CA,1620175369,49.1667,-57.4316,41.0,41.0,75,1,5.75
benjamin aceval,PY,1620175370,-24.9667,-57.5667,73.2,73.4,94,90,3.44
san isidro,PE,1620175371,-12.1167,-77.05,64.83,64.99,88,75,16.11
qarqin,AF,1620175371,37.4185,66.0436,72.18,72.18,29,100,2.62
laguna,US,1620175372,38.421,-121.4238,90.43,91.4,15,1,4.61
pearland,US,1620175217,29.5636,-95.286,79.05,80.6,61,75,18.41
griffith,US,1620175373,41.5284,-87.4237,49.75,51.01,76,90,5.75
hualmay,PE,1620175374,-11.0964,-77.6139,67.48,67.48,84,99,12.19
ahipara,NZ,1620175374,-35.1667,173.1667,64.81,64.81,48,79,1.66
maniitsoq,GL,1620175376,65.4167,-52.9,33.57,33.57,79,13,14.85
olga,RU,1620175376,43.7444,135.2892,44.02,44.02,99,100,4.05
sitka,US,1620175377,57.0531,-135.33,46.4,46.4,71,75,2.8
paita,PE,1620175261,-5.0892,-81.1144,69.93,69.93,81,67,15.21
oktyabrskiy,RU,1620175378,54.4815,53.471,51.21,51.21,86,100,9.98
guiratinga,BR,1620175379,-16.3494,-53.7583,68.4,68.4,43,7,4.05
vicuna,CL,1620175379,-30.0319,-70.7081,53.01,53.01,67,0,1.88
sinazongwe,ZM,1620175380,-17.2614,27.4618,64.6,64.6,62,0,1.83
puerto rico,AR,1620175381,-26.796,-55.024,69.94,69.94,69,100,2.59
dera bugti,PK,1620175381,29.0307,69.151,82.51,82.51,26,35,0.78
lazaro cardenas,MX,1620175382,17.9583,-102.2,79.3,79.3,52,0,8.28
auriflama,BR,1620175383,-20.6856,-50.5547,68.0,68.0,29,0,3.69
pokhara,NP,1620175109,28.2333,83.9833,66.27,66.27,84,100,2.08
florianopolis,BR,1620175259,-27.6146,-48.5012,73.4,73.4,88,0,4.61
lodja,CD,1620175333,-3.4833,23.4333,69.26,69.26,94,100,1.19
champerico,GT,1620175385,14.3,-91.9167,70.25,73.4,94,90,6.91
rantauprapat,ID,1620175386,2.1,99.8333,77.32,77.32,91,96,1.66
lieto,FI,1620175387,60.5103,22.4618,36.46,37.4,70,0,9.22
rio de janeiro,BR,1620175197,-22.9028,-43.2075,74.28,75.2,88,0,2.3
youkounkoun,GN,1620175388,12.5333,-13.1333,81.97,81.97,47,83,10.94
majene,ID,1620175388,-3.5403,118.9707,81.09,81.09,82,95,6.98
raudeberg,NO,1620175389,61.9875,5.1352,39.99,39.99,87,100,13.78
gustavo diaz ordaz,MX,1620175390,26.2333,-98.5833,85.42,87.8,58,1,19.57
satara,IN,1620175390,17.6833,73.9833,75.69,75.69,70,5,1.81
mechanicsville,US,1620175391,37.6088,-77.3733,69.64,72.0,94,20,5.57
paamiut,GL,1620175392,61.994,-49.6678,39.52,39.52,62,98,7.02
sistranda,NO,1620175392,63.7256,8.834,42.8,42.8,49,0,18.41
port lincoln,AU,1620175393,-34.7333,135.8667,60.42,60.42,60,100,12.88
namibe,AO,1620175394,-15.1961,12.1522,74.73,74.73,77,15,5.17
imbituba,BR,1620175395,-28.24,-48.6703,73.4,73.4,88,0,4.61
the valley,AI,1620175395,18.217,-63.0578,79.52,80.6,69,40,12.66
luebo,CD,1620175396,-5.35,21.4167,69.75,69.75,97,95,0.98
puerto penasco,MX,1620175397,31.3167,-113.5333,75.0,75.0,68,5,5.01
dhidhdhoo,MV,1620175397,6.8833,73.1,84.58,84.58,71,100,4.45
japura,ID,1620175398,-0.3167,102.35,77.45,77.45,92,100,1.41
ojinaga,MX,1620175398,29.5667,-104.4167,81.79,82.4,18,1,3.87
vadinsk,RU,1620175399,53.6916,43.0574,37.69,37.69,83,13,13.82
vaitape,PF,1620175400,-16.5167,-151.75,82.6,82.6,76,28,13.69
kahului,US,1620175401,20.8947,-156.47,74.84,82.4,61,20,21.85
yarada,IN,1620175401,17.65,83.2667,78.8,78.8,94,40,3.44
port shepstone,ZA,1620175402,-30.7414,30.455,64.04,64.04,74,0,6.96
ancud,CL,1620175403,-41.8697,-73.8203,45.27,46.0,87,0,10.36
aloleng,PH,1620175404,16.1307,119.7824,89.13,89.13,57,69,5.84
college,US,1620175404,64.8569,-147.8028,56.19,59.0,31,75,8.05
zilupe,LV,1620175405,56.3862,28.1217,37.74,37.74,90,99,6.51
batemans bay,AU,1620175405,-35.7167,150.1833,62.6,64.99,65,100,12.44
taldan,RU,1620175406,53.6667,124.8,34.25,34.25,98,100,6.8
manchenky,UA,1620175407,49.9798,35.8583,41.0,41.0,65,0,2.24
fortuna,US,1620175408,40.5982,-124.1573,57.94,62.01,88,1,16.11
gobabis,NA,1620175408,-22.45,18.9667,55.83,55.83,46,0,10.36
talitsy,RU,1620175409,56.5289,42.3344,36.09,36.09,91,100,11.05
kota belud,MY,1620175410,6.351,116.4305,85.19,86.0,74,20,4.61
zambezi,ZM,1620175410,-13.5432,23.1047,67.03,67.03,66,100,4.45
pacific grove,US,1620175362,36.6177,-121.9166,58.32,59.0,83,31,7.85
samarai,PG,1620175412,-10.6167,150.6667,82.24,82.24,72,16,12.08
lompoc,US,1620175412,34.6391,-120.4579,66.87,72.0,59,2,12.66
mercedes,AR,1620175413,-34.6515,-59.4307,51.66,52.0,78,100,1.99
santander de quilichao,CO,1620175414,3.0095,-76.4849,75.2,75.2,64,40,8.05
